© 2000-2010 Ingenuity Systems, Inc. All rights reserved.

ID	Notes	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)
218739_at		ABHD5	abhydrolase domain containing 5	Cytoplasm	enzyme	
223615_at		ABI3	ABI family, member 3	Plasma Membrane	other	
228264_at		ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	unknown	enzyme	
238825_at		ACRC	acidic repeat containing	unknown	other	
213198_at		ACVR1B	activin A receptor, type IB	Plasma Membrane	kinase	
213532_at		ADAM17	ADAM metallopeptidase domain 17	Plasma Membrane	peptidase	
221850_x_at		AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	unknown	other	
1555736_a_at	D	AGTRAP	angiotensin II receptor-associated protein	Plasma Membrane	G-protein coupled receptor	
225059_at	D	AGTRAP	angiotensin II receptor-associated protein	Plasma Membrane	G-protein coupled receptor	
238135_at	D	AGTRAP	angiotensin II receptor-associated protein	Plasma Membrane	G-protein coupled receptor	
206513_at		AIM2	absent in melanoma 2	Cytoplasm	other	
210962_s_at		AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	Cytoplasm	other	
223145_s_at	D	AKIRIN2	akirin 2	unknown	other	
223143_s_at	D	AKIRIN2	akirin 2	unknown	other	
208773_s_at		ANKHD1	ankyrin repeat and KH domain containing 1	Nucleus	transcription regulator	
223542_at		ANKRD32	ankyrin repeat domain 32	Nucleus	transcription regulator	
220112_at		ANKRD55	ankyrin repeat domain 55	Nucleus	transcription regulator	
202888_s_at		ANPEP	alanyl (membrane) aminopeptidase	Plasma Membrane	peptidase	
203300_x_at	D	AP1S2	adaptor-related protein complex 1, sigma 2 subunit	Cytoplasm	transporter	
230264_s_at	D	AP1S2	adaptor-related protein complex 1, sigma 2 subunit	Cytoplasm	transporter	
218230_at		ARFIP1	ADP-ribosylation factor interacting protein 1	Cytoplasm	other	
226906_s_at		ARHGAP9	Rho GTPase activating protein 9	unknown	other	
221656_s_at		ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like	Cytoplasm	enzyme	
215716_s_at	D	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	Plasma Membrane	transporter	
212930_at	D	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	Plasma Membrane	transporter	
212041_at		ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	Cytoplasm	transporter	
242230_at		ATXN1	ataxin 1	Nucleus	other	
235240_at		ATXN3	ataxin 3	Nucleus	other	
1553959_a_at		B3GALT6	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6	Cytoplasm	enzyme	
219326_s_at	D	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	Cytoplasm	enzyme	
222870_s_at	D	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	Cytoplasm	enzyme	
221485_at		B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	Cytoplasm	enzyme	
