© 2000-2010 Ingenuity Systems, Inc. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	Molecules
Dendritic Cell Maturation	6.54E00	8.62E-02	HLA-DQB1,PIK3CG,MAPK1,MAPK8,JAK2,CD1C,NFKB1,HLA-DRA,HLA-DMB,NFKBIA,MAPK14,HLA-DRB1,CREB5,HLA-DQA1,IL1RN
Toll-like Receptor Signaling	6.19E00	1.67E-01	TLR5,IRAK3,NFKBIA,IRAK2,MAPK14,MAPK8,MAP2K6,NFKB1,TLR8 (includes EG:51311)
p38 MAPK Signaling	5.45E00	1.13E-01	MAX,TRADD,IRAK3,IRAK2,MAPK14,IL1R1,MAP2K6,CREB5,TIFA,MEF2C,IL1RN
IL-6 Signaling	4.81E00	1.08E-01	NFKBIA,MAPK14,MAPK1,IL1R1,MAPK8,JAK2,MAP2K6,IL1RN,NFKB1,TNFAIP6
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	4.66E00	7.03E-02	PIK3CG,MAPK1,PRKCD,MAPK8,JAK2,NCF4,NFKB1,PPP1R12A,NFKBIA,SIRPA,MAPK14,RHOT1,JAK3
Antigen Presentation Pathway	4.65E00	1.54E-01	HLA-DRB1,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,HLA-DMB
CD40 Signaling	4.48E00	1.19E-01	PIK3CG,NFKBIA,MAPK14,MAPK1,MAPK8,MAP2K6,JAK3,NFKB1
IL-10 Signaling	4.43E00	1.14E-01	NFKBIA,MAPK14,IL1R1,IL10RB,MAPK8,MAP2K6,IL1RN,NFKB1
Type I Diabetes Mellitus Signaling	4.4E00	8.7E-02	TRADD,NFKBIA,MAPK14,IL1R1,MAPK8,JAK2,MAP2K6,HLA-DPB1,NFKB1,HLA-DMB
B Cell Receptor Signaling	4.32E00	7.79E-02	PIK3CG,NFKBIA,BCL2A1,MAPK14,MAPK1,MAPK8,MAP2K6,CREB5,CAMK2D,BCL6,NFKB1,PIK3AP1
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.26E00	5.28E-02	TLR5,PIK3CG,IRAK3,PRKCD,MAPK1,IL1R1,MAP2K6,JAK2,IL18R1,CAMK2D,NFKB1,TLR8 (includes EG:51311),TRADD,NFKBIA,IRAK2,MAPK14,CREB5,IL1RN
IL-4 Signaling	4.22E00	1.08E-01	HLA-DQB1,PIK3CG,HLA-DRB1,JAK2,JAK3,HLA-DQA1,HLA-DRA,HLA-DMB
LPS-stimulated MAPK Signaling	3.98E00	1.03E-01	PIK3CG,NFKBIA,MAPK14,PRKCD,MAPK1,MAPK8,MAP2K6,NFKB1
IL-1 Signaling	3.91E00	8.49E-02	IRAK3,NFKBIA,IRAK2,MAPK14,IL1R1,MAPK8,MAP2K6,GNB1,NFKB1
Nicotinate and Nicotinamide Metabolism	3.66E00	6.62E-02	VNN1,BST1,CSNK1D,PRKCD,MAPK1,MAPK8,MAP2K6,NAMPT,VNN2
Acute Phase Response Signaling	3.64E00	6.74E-02	TRADD,PIK3CG,NFKBIA,SOD2,MAPK14,MAPK1,IL1R1,MAPK8,JAK2,MAP2K6,IL1RN,NFKB1
IL-22 Signaling	3.63E00	1.79E-01	MAPK14,MAPK1,STAT5B,IL10RB,MAPK8
B Cell Development	3.63E00	1.32E-01	HLA-DQB1,HLA-DRB1,HLA-DQA1,HLA-DRA,HLA-DMB
IL-15 Signaling	3.57E00	1.04E-01	PIK3CG,MAPK14,MAPK1,STAT5B,JAK2,JAK3,NFKB1
Erythropoietin Signaling	3.35E00	9.21E-02	PIK3CG,NFKBIA,PRKCD,MAPK1,STAT5B,JAK2,NFKB1
NF-κB Signaling	3.18E00	6.58E-02	TLR5,IRAK3,PIK3CG,NFKBIA,IL1R1,MAPK8,MAP2K6,IL1RN,NFKB1,TLR8 (includes EG:51311)
Oncostatin M Signaling	3.15E00	1.43E-01	EPAS1,MAPK1,STAT5B,JAK2,JAK3
HMGB1 Signaling	3.12E00	8.16E-02	PIK3CG,MAPK14,MAPK1,IL1R1,MAPK8,RHOT1,MAP2K6,NFKB1
IL-17 Signaling	3.08E00	9.46E-02	PIK3CG,MAPK14,MAPK1,MAPK8,JAK2,MAP2K6,NFKB1
