Gene Group 1	Enrichment Score: 15.135760912085946
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"1559127_x_at, 1559126_at"	ribosomal RNA processing 12 homolog (S. cerevisiae)
223631_s_at	chromosome 19 open reading frame 33
218859_s_at	"similar to ABT1-associated protein; ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)"
"225509_at, 219129_s_at"	SAP30-like
218889_at	nucleolar complex associated 3 homolog (S. cerevisiae)
"213188_s_at, 213189_at"	MYC induced nuclear antigen
221514_at	"UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)"
224968_at	coiled-coil domain containing 104
212018_s_at	ribosomal L1 domain containing 1
214661_s_at	NOP14 nucleolar protein homolog (yeast)
228408_s_at	SDA1 domain containing 1
229558_at	chromosome 16 open reading frame 88
201922_at	hypothetical gene supported by NM_014886; TGF beta-inducible nuclear protein 1; similar to TGF beta-inducible nuclear protein 1
209486_at	"UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)"
211686_s_at	MAK16 homolog (S. cerevisiae)
225866_at	brix domain containing 1 pseudogene; brix domain containing 1
"234339_s_at, 217807_s_at"	glioma tumor suppressor candidate region gene 2; glioma tumor suppressor candidate region gene 2 pseudogene
222605_at	REST corepressor 3
Gene Group 2	Enrichment Score: 12.340118841412465
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
208804_s_at	"splicing factor, arginine/serine-rich 6; similar to arginine/serine-rich splicing factor 6"
"222496_s_at, 218035_s_at, 1565597_at"	RNA binding motif protein 47
1554569_a_at	"CUG triplet repeat, RNA binding protein 2"
"214698_at, 214697_s_at"	ROD1 regulator of differentiation 1 (S. pombe)
226975_at	"RNA-binding region (RNP1, RRM) containing 3"
"213152_s_at, 238929_at, 228760_at, 214789_x_at"	"splicing factor, arginine/serine-rich 2B"
"224831_at, 242384_at, 224828_at"	cytoplasmic polyadenylation element binding protein 4
Gene Group 3	Enrichment Score: 10.159505147902674
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
242146_at	small nuclear ribonucleoprotein polypeptide A'
